"id","classification","likely_subject","recommended_role","ship_status","concerns"
"1","AI-generated concept art","Metallic molecular S with SYNTHEX Holding pedestal","Hero 3D mood reference","reference-only","Synthetic logo treatment; portrait crop; embedded text; not an official mark"
"2","AI-generated concept art","Networked globe with SYNTHEX Holding pedestal","Holding network and international trade mood reference","reference-only","Synthetic illustration; embedded text; generic globe motif"
"3","AI-generated concept art","SYNTHEX-branded corporate tower","Architectural scale mood reference","reference-only","Invented building and signage must not be presented as a real headquarters"
"4","AI-generated concept art","Molecular S combined with industrial skyline","Holding-to-industry transition reference","reference-only","Synthetic logo variant and invented skyline"
"5","AI-generated concept art","Circular molecular SYNTHEX Holding emblem","Material and lighting reference","reference-only","Invented badge; not an official logo"
"6","AI-generated concept art","JOLLAQ gold emblem with grain, coffee, cargo, and petroleum cues","JOLLAQ selector/world mood reference","reference-only","Invented badge and product collage; not an official logo"
"7","AI-generated concept art","Al Maria gold emblem with contract, pen, and institutional architecture","Al Maria selector/world mood reference","reference-only","Invented badge and document details; not proof of contracts"
"8","AI-generated concept art","SYNTHEX Industrial gear emblem with factory and metal products","Industrial selector/world mood reference","reference-only","Only supplied Industrial mark is invented concept art; official identity missing"
"9","AI-generated concept art","SHAMCO globe, truck, packages, and route map","SHAMCO selector/world mood reference","reference-only","Invented logo treatment and map details"
"10","AI-generated concept art","Blue molecular network sculpture","Holding hero geometry and material reference","reference-only","Suitable as a 3D modeling reference, not as a final raster hero"
"11","AI-generated concept art","Chrome architectural tower with orbital rings","Unified holding conclusion mood reference","reference-only","Abstract synthetic structure"
"12","AI-generated concept art","Wheat, commodity sacks, cans, barrels, and globe","JOLLAQ commodity-world mood reference","reference-only","Generic synthetic product collage; labels/details may be unreliable"
"13","AI-generated concept art","Wheat, cargo container, packages, and logistics ring","JOLLAQ supply-chain mood reference","reference-only","Generic synthetic logistics scene"
"14","AI-generated concept art","Contract document, institutional building, globe, and seal","Al Maria public-sector mood reference","reference-only","Must not imply a real signed agreement or government endorsement"
"15","AI-generated concept art","Edible oils, globe, formal architecture, and briefcase","Al Maria international trade mood reference","reference-only","Synthetic product/contract scene"
"16","AI-generated concept art","Extruded aluminum, steel sections, barrels, and industrial structure","Industrial materials mood reference","reference-only","Synthetic materials scene; geometries can inspire a real-time composition"
"17","AI-generated concept art","Chemical glassware and flowing paint colors","Chemicals-to-paint manufacturing transition reference","reference-only","Synthetic scene; no real facility or process proof"
"18","AI-generated concept art","Warehouse over a stylized route map","SHAMCO distribution-network mood reference","reference-only","Stylized map is not verified geographic coverage"
"19","AI-generated concept art","Levant-like network map with ship, truck, packages, and route lines","SHAMCO logistics mood reference","reference-only","Geography and coverage are unverified; should not be shown as factual"
"20","AI-generated pseudo-photo","Yellow combine harvester in wheat field with JOLLAQ branding","Agriculture mood reference only","do-not-ship-as-proof","Synthetic documentary-style image with invented vehicle branding"
"21","AI-generated pseudo-photo","Green combine harvester in wheat field","Agriculture mood reference only","do-not-ship-as-proof","Synthetic documentary-style image; provenance is not real photography"
"22","AI-generated pseudo-photo","Yellow combine harvester with JOLLAQ branding","Agriculture mood reference only","do-not-ship-as-proof","Synthetic documentary-style image with invented vehicle branding"
"23","AI-generated pseudo-photo","Green combine harvester in grain field","Agriculture mood reference only","do-not-ship-as-proof","Synthetic documentary-style image; provenance is not real photography"
"24","AI-generated pseudo-photo","Aerial view of yellow JOLLAQ-branded combine","Agriculture mood reference only","do-not-ship-as-proof","Synthetic documentary-style image with invented vehicle branding"
"25","Compressed raster logo reference","SYNTHEX molecular S and bilingual wordmark on black","Best dark-background SYNTHEX reference pending confirmation","temporary-reference","JPEG compression; embedded black background and tagline; no transparency/vector; legal wording needs confirmation"
"26","Compressed raster logo reference","SYNTHEX molecular S and bilingual wordmark on white with bottom Arabic label","Light-background SYNTHEX reference pending confirmation","temporary-reference","JPEG compression; textured background; extra Arabic footer; no transparency/vector"
"27","Compressed raster logo reference","SYNTHEX molecular S and bilingual wordmark on white","Secondary light-background SYNTHEX reference","temporary-reference","JPEG compression; textured background; logo geometry differs from files 25 and 26"
"28","Compressed raster logo reference","JOLLAQ gold globe/container/wing mark and English wordmark","Strongest JOLLAQ identity reference pending confirmation","temporary-reference","Raster on black; no transparent/vector master; legal spelling/casing needs approval"
"29","Compressed raster logo reference","SHAMCO blue/green/gold globe, landscape, dome, and arrows","SHAMCO identity candidate A","hold","Conflicts with files 31 and 37; embedded black background; official variant unknown"
"30","Low-resolution raster logo reference","JOLLAQ English gold mark","Do not use beyond comparison","do-not-ship","267 x 225 and visibly compressed; duplicate design family of file 28"
"31","Compressed raster logo reference","SHAMCO metallic blue/gold mark with globe, aircraft, mountain, dome, and ship","SHAMCO identity candidate B","hold","Conflicts with files 29 and 37; highly detailed mark will not scale cleanly"
"32","Compressed raster logo reference","Al Maria circular blue/gold import-export badge","Al Maria identity candidate A","do-not-ship","Visible 'EKPORT' typo; embedded black background; registration claim requires verification"
"33","Compressed raster logo reference","Al Maria circular blue/gold badge on white","Al Maria identity candidate A light version","do-not-ship","Likely same typo/design family as file 32; embedded white background"
"34","Compressed raster logo reference","Simplified Al Maria circular globe-and-arrow badge","Al Maria identity candidate B","hold","Conflicts with files 32, 33, and 35; official wording and registration details unknown"
"35","Low-resolution raster logo reference","Gold Al Maria circular badge","Do not use beyond comparison","do-not-ship","270 x 260; severe compression; wording/registration claim needs verification"
"36","Low-resolution raster logo reference","Arabic JOLLAQ gold mark with import/distribution subtitle","Arabic identity reference only","do-not-ship","237 x 244; Arabic spelling and legal name require client review"
"37","Compressed raster logo reference","SHAMCO silver/gold wordmark with globe, mountain, and dome","SHAMCO identity candidate C","hold","Conflicts with files 29 and 31; embedded black background and low JPEG quality"
