"id","filename","rank","color","sampled_pixels"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","1","#606060","147"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","2","#001830","139"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","3","#787878","116"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","4","#003060","108"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","5","#003048","100"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","6","#183048","99"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","7","#184860","70"
"25","WhatsApp Image 2026-06-11 at 16.39.55 (1).jpeg","8","#484860","59"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","1","#F0F0F0","1355"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","2","#306090","436"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","3","#D8D8D8","409"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","4","#304878","233"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","5","#C0C0D8","205"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","6","#C0D8D8","198"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","7","#183060","173"
"26","WhatsApp Image 2026-06-11 at 16.39.55 (2).jpeg","8","#C0C0C0","165"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","1","#F0F0F0","1446"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","2","#D8D8D8","599"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","3","#C0C0C0","389"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","4","#A8A8A8","200"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","5","#909090","180"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","6","#A8C0C0","158"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","7","#90A8A8","141"
"27","WhatsApp Image 2026-06-11 at 16.39.55.jpeg","8","#607890","136"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","1","#303018","113"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","2","#604830","103"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","3","#483018","83"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","4","#301818","70"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","5","#786030","70"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","6","#A87830","58"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","7","#F0D890","57"
"28","WhatsApp Image 2026-06-11 at 16.41.34.jpeg","8","#906030","54"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","1","#003078","271"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","2","#003060","127"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","3","#006030","97"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","4","#001848","78"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","5","#003018","60"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","6","#483018","35"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","7","#001830","33"
"29","WhatsApp Image 2026-06-11 at 16.41.35 (1).jpeg","8","#604818","31"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","1","#604830","224"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","2","#303018","160"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","3","#483018","151"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","4","#F0D890","147"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","5","#301800","130"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","6","#A87848","120"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","7","#181800","119"
"30","WhatsApp Image 2026-06-11 at 16.41.35.jpeg","8","#F0F0C0","117"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","1","#003060","62"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","2","#001848","52"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","3","#183048","48"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","4","#301800","48"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","5","#304860","47"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","6","#603000","44"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","7","#001830","44"
"31","WhatsApp Image 2026-06-11 at 16.41.36.jpeg","8","#004878","38"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","1","#003078","553"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","2","#003090","441"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","3","#001878","403"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","4","#001860","293"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","5","#183078","191"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","6","#787860","178"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","7","#606060","175"
"32","WhatsApp Image 2026-06-11 at 16.41.37 (1).jpeg","8","#909060","131"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","1","#003060","539"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","2","#001848","416"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","3","#183060","387"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","4","#001860","267"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","5","#003078","159"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","6","#183048","154"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","7","#184878","125"
"33","WhatsApp Image 2026-06-11 at 16.41.37 (2).jpeg","8","#181848","122"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","1","#001848","791"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","2","#001860","279"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","3","#003060","178"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","4","#003078","116"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","5","#181830","97"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","6","#181848","74"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","7","#004890","69"
"34","WhatsApp Image 2026-06-11 at 16.41.37.jpeg","8","#D8A830","57"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","1","#906000","385"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","2","#F0D878","279"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","3","#301800","257"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","4","#C0A848","249"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","5","#D8C060","247"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","6","#F0C030","245"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","7","#F0D890","241"
"35","WhatsApp Image 2026-06-11 at 16.41.38 (1).jpeg","8","#C09030","238"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","1","#604830","255"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","2","#483018","222"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","3","#303018","178"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","4","#301800","162"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","5","#301818","157"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","6","#A87848","149"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","7","#D8A860","132"
"36","WhatsApp Image 2026-06-11 at 16.41.38.jpeg","8","#907848","131"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","1","#909090","80"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","2","#606060","75"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","3","#787878","74"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","4","#C0C0C0","74"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","5","#A8A8A8","73"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","6","#484848","55"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","7","#D8D8D8","44"
"37","WhatsApp Image 2026-06-11 at 16.41.39.jpeg","8","#786030","17"
